hashtag,gpt2_segmentation,heuristics_segmentation,edit_distance
cso,cso,cs o,1
WEX,wex,w ex,1
FrankMartin,frank martin,frankmartin,1
Kemet,kemet,ke me t,2
Allstate,allstate,all state,1
UGI,ugi,u gi,1
informer,informer,in former,1
informer,informer,in  former,2
Tokensale,token sale,tokensale,1
LeagueOfLegends,league of legends,leagueoflegends,2
BTOB,btob,b to b,2
Badgers,badgers,badger s,1
socal,socal,so cal,1
thedrive,thedrive,the drive,1
tata,tata,t at a,2
SteveKing,steve king,steveking,1
bikeshare,bikeshare,bike share,1
notable,notable,not able,1
programmed,programmed,programme d,1
wego,wego,we go,1
gaad,gaad,g a  ad,3
voxdotcom,vox dot com,voxdotcom,2
thunderhead,thunderhead,th under head,2
TBBC,tbbc,t bbc,1
FAP,fap,f a p,2
ayu,ayu,ay u,1
readings,readings,reading s,1
LOCKDOWN,lockdown,lock down,1
firstlook,firstlook,first look,1
xhamster,xhamster,x h a m s ter,5
songwriting,songwriting,song writing,1
BigBangTheory,big bang theory,bigbangtheory,2
Bagan,bagan,bag an,1
GeorgeGalloway,george galloway,georgegalloway,1
PlanA,plan a,plana,1
Dade,dade,d a de,2
Sloths,sloths,sloth s,1
sandiego,sandiego,san diego,1
xcode,xcode,x code,1
E2C,e2c,e 2 c,2
slac,slac,s lac,1
thering,the ring,thering,1
shale,shale,shal e,1
TheWonderYears,the wonder years,thewonderyears,2
GSH,gsh,g sh,1
FY,fy,f y,1
DevinNunes,devin nunes,devinnunes,1
APEX,apex,ap ex,1
bbh,bbh,bb h,1
EEGA,eega,ee ga,1
NYJets,ny jets,nyjets,1
feds,feds,fed s,1
musica,musica,music a,1
d100,d100,d 100,1
D20,d20,d 20,1
Smores,smores,s more s,2
Halloween2018,halloween 2018,halloween2018,1
LSUS,lsus,ls us,1
NEWJERSEY,new jersey,new   jersey,2
PeteHolmes,pete holmes,peteholmes,1
sosa,sosa,so sa,1
retune,retune,re tune,1
snood,snood,s nood,1
Unconference,unconference,un conference,1
FoodNetwork,food network,foodnetwork,1
JimmyKimmelLive,jimmy kimmel live,jimmykimmellive,2
boyband,boyband,boy band,1
NoWar,no war,now ar,2
sunspot,sunspot,sun spot,1
Dialup,dialup,dial up,1
CoastLine,coast line,coastline,1
prolifers,prolifers,pro lifers,1
redhot,redhot,red hot,1
Hiphop,hip hop,hiphop,1
SusanBoyle,susan boyle,susanboyle,1
italo,italo,ital o,1
italo,italo,it alo,1
LSAT,lsat,ls at,1
notime,notime,no time,1
agouti,agouti,ag out i,2
Saudi,saudi,s audi,1
RPO,rpo,r po,1
K20,k20,k 20,1
linko,linko,link o,1
EOAS,eoas,eo as,1
withnews,with news,with new s,1
btn,btn,bt n,1
BlackKing,black king,blackking,1
rasta,rasta,r a sta,2
TDY,tdy,t dy,1
PaulHayes,paul hayes,paulhayes,1
sorel,sorel,so rel,1
ChuckTodd,chuck todd,chucktodd,1
WILLO,willo,will o,1
butthole,butthole,butt hole,1
inSecurity,in security,insecurity,1
NCTE,ncte,nc te,1
oreo,oreo,ore o,1
Palau,palau,pal au,1
Homeoffice,home office,homeoffice,1
nocap,nocap,no cap,1
TeamWarrior,team warrior,teamwarrior,1
BrianKemp,brian kemp,briankemp,1
FullSpeedAhead,full speed ahead,fullspeed ahead,1
blep,blep,ble p,1
Sedin,sedin,sed in,1
singed,singed,sing ed,1
Spygate,spygate,spy gate,1
leyline,leyline,ley line,1
payoff,payoff,pay off,1
billnye,bill nye,billnye,1
chitchat,chitchat,chit chat,1
hplus,hplus,h plus,1
badguy,badguy,bad guy,1
OFR,ofr,of r,1
kenton,kenton,ken ton,1
LittleMix,little mix,littlemix,1
galli,galli,g all   i,4
oyun,oyun,o yun,1
RBT,rbt,r bt,1
lovelife,love life,lovelife,1
Yangon,yangon,yang on,1
SDOH,sdoh,s do h,2
Bey,bey,be y,1
Xfiles,x files,xfiles,1
inox,ino x,inox,1
SelfDriving,self driving,selfdriving,1
widn,widn,wid  n,2
MrD,mr d,mrd,1
cozmo,cozmo,coz  mo,2
lifehacks,lifehacks,life hacks,1
instart,instart,in start,1
instart,instart,in   start,3
ETFO,etfo,et fo,1
Dally,dally,d all y,2
outout,outout,out out,1
SpringTime,spring time,springtime,1
Islamists,islamists,islamist s,1
bigbrain,bigbrain,big brain,1
transwomen,transwomen,trans women,1
ACEO,aceo,ace o,1
OhBoy,oh boy,ohboy,1
GradSchool,grad school,gradschool,1
HTTR,httr,ht tr,1
50shades,50 shades,50shades,1
UCHC,uchc,uch c,1
RedHawk,red hawk,redhawk,1
BLine,b line,bline,1
Tapas,tapas,t a pas,2
candela,candela,can dela,1
newx,newx,new x,1
newx,newx,new  x,2
ACEN,a cen,acen,1
Bigboobs,big boobs,bigboobs,1
ISDA,isda,is da,1
Retrospectives,retrospectives,retrospective s,1
annuals,annuals,annual s,1
GOTY,goty,got y,1
Durga,durga,durg a,1
Cameltoe,cameltoe,camel toe,1
elfo,elfo,el fo,1
streetart,street art,streetart,1
Minicab,minicab,mini cab,1
ManishPandey,manish pandey,manishpandey,1
TGIA,tgia,t gia,1
ARNews,ar news,arnews,1
Sandown,sandown,s  and  own,4
SouthDowns,south downs,southdowns,1
roadblock,roadblock,road block,1
ageist,ageist,age is t,2
Magmar,magmar,magma r,1
corevalues,core values,core  values,1
AOTW,aotw,ao tw,1
Aymeric,aymeric,ay meri c,2
bigpoint,bigpoint,big point,1
rakan,rakan,rak an,1
4WP,4 wp,4wp,1
techreview,tech review,techreview,1
Minehead,minehead,mine head,1
sonoff,sonoff,son of  f,3
Dowsing,dowsing,dow sing,1
Houma,houma,hou ma,1
AFPA,afpa,af pa,1
Onestar,one star,onestar,1
dli,dli,d li,1
theEvent,the event,the  event,1
breakups,breakups,breakup s,1
TheUnforgiven,the unforgiven,the un forgiven,1
AOV,aov,a ov,1
AD11,ad 11,ad11,1
Inle,inle,in le,1
FCPA,fcpa,fc pa,1
day43,day 43,day43,1
footballguy,footballguy,football guy,1
tapin,tap in,tapin,1
StayFabulous,stay fabulous,stayfabulous,1
greenhousegas,greenhousegas,greenhouse gas,1
TrumpRally,trump rally,trump  rally,1
oldgrowth,oldgrowth,old growth,1
highroad,highroad,high road,1
bew,bew,be w,1
FettyWap,fetty wap,fettywap,1
dailynews,daily news,dailynews,1
hotgirl,hotgirl,hot girl,1
chewy,chewy,chew y,1
fanson,fanson,fans on,1
IETF,ietf,iet f,1
Mecum,mecum,me cum,1
sexlife,sex life,sexlife,1
waterdown,waterdown,water down,1
CSUB,csub,c sub,1
TheBigA,the big a,the big  a,1
3Line,3 line,3line,1
FoodAndWine,food and wine,foodandwine,2
Radio3,radio 3,radio3,1
Retrogaming,retrogaming,retro gaming,1
APRS,aprs,a prs,1
Publicist,publicist,public is t,2
Sliquid,sliquid,s liquid,1
gforce,gforce,g force,1
inequity,in equity,inequity,1
HMOs,hmos,h mos,1
lookout,lookout,look out,1
westbank,westbank,west bank,1
ntpol,ntpol,nt pol,1
XBY,xby,x by,1
buildup,buildup,build up,1
P2G,p2g,p 2 g,2
haiga,haiga,h aig a,2
haiga,haiga,hai ga,1
plive,plive,p live,1
Hwi,hwi,h wi,1
Trakt,trakt,trak t,1
RD3,rd3,rd 3,1
lewes,lewes,le we s,2
DTES,dtes,d tes,1
basicincome,basic income,basicincome,1
REIS,reis,re is,1
blackday,blackday,black day,1
crossfitter,crossfitter,cross fitter,1
KCollege,k college,kcollege,1
olein,olein,ole in,1
Wwise,wwise,w wise,1
chickenwings,chickenwings,chicken wings,1
bunnygirl,bunnygirl,bunny girl,1
ironfist,ironfist,iron fist,1
F2B,f2b,f 2 b,2
nsfr,nsfr,ns fr,1
realmusic,real music,realmusic,1
Terp,terp,ter p,1
myears,myears,my ears,1
klance,klance,k lance,1
VoteRed,vote red,voter ed,2
VoteRed,vote red,votered,1
chainlink,chain link,chainlink,1
Daddys,daddys,daddy s,1
MurphyBrown,murphy brown,murphybrown,1
TheARK,the ark,theark,1
xpass,xpass,x pass,1
chalo,chalo,ch a lo,2
NoHair,no hair,nohair,1
ViewPoint,viewpoint,view point,1
sportscar,sports car,sportscar,1
AFTV,aftv,aft v,1
RM10,rm10,rm 10,1
Sats,sats,s at s,2
usanews,usanews,us a new s,3
Lyin,lyin,ly in,1
Livesmatter,livesmatter,lives matter,1
MyWeather,my weather,myweather,1
hotas,hotas,hot as,1
Chesco,chesco,ches co,1
usvi,usvi,us vi,1
SPED,sped,s ped,1
TheArcana,the arcana,thearcana,1
veiny,veiny,ve in y,2
SoS,sos,so s,1
vieri,vieri,vie ri,1
PigeonForge,pigeon forge,pigeonforge,1
SPOs,spos,s pos,1
RINGRING,ring ring,ringring,1
popin,popin,pop in,1
IRSE,irse,ir se,1
orjay,orjay,or jay,1
HandWritten,hand written,handwritten,1
GoRun,go run,g or un,3
IceBridge,icebridge,ice bridge,1
Norg,norg,n org,1
waybackhome,waybackhome,way back home,2
MegMyers,meg myers,megmyers,1
woran,woran,wo ran,1
SUPERBOY,superboy,super boy,1
TheTemptations,the temptations,thetemptations,1
RobOakeshott,rob oakeshott,roboakeshott,1
Hessen,hessen,h essen,1
JeffreyLloyd,jeffrey lloyd,jeffreylloyd,1
Assim,assim,as sim,1
digitalartwork,digital artwork,digital art work,1
roughsex,rough sex,roughsex,1
socialgood,social good,socialgood,1
corals,corals,coral s,1
LLTH,llth,ll th,1
OGTF,ogtf,ogt f,1
NewMass,new mass,new  mass,1
overout,overout,ove rout,1
COMAND,comand,com and,1
cloudbased,cloudbased,cloud based,1
exgirlfriend,exgirlfriend,ex girlfriend,1
vaw,vaw,va w,1
parkcity,parkcity,park city,1
SummerJam,summer jam,summerjam,1
BrooksKoepka,brooks koepka,brookskoepka,1
Station19,station 19,station19,1
COMEY,comey,come y,1
cottoncandy,cotton candy,cottoncandy,1
cashcow,cashcow,cash cow,1
QAlert,q alert,qalert,1
GoArmy,go army,goarmy,1
my24,my24,my 24,1
reanimate,reanimate,re animate,1
markson,markson,marks on,1
Visualarts,visual arts,visualarts,1
NewFord,new ford,new  for  d,3
TrumpTrain,trump train,trumptrain,1
callao,callao,call a o,2
BALLOONS,balloons,balloon s,1
ImNext,im next,im  next,1
BagMan,bag man,bagman,1
fordbridge,fordbridge,ford bridge,1
Testo,testo,tes to,1
flashsale,flashsale,flash sale,1
bowkid,bowkid,bow kid,1
5TP,5 tp,5tp,1
DailyMotivation,daily motivation,daily  motivation,1
DailyMotivation,daily motivation,dailymotivation,1
familylove,family love,familylove,1
bihi,bihi,bih i,1
GOT7,got 7,got7,1
BusinessWoman,business woman,businesswoman,1
Retrogamer,retrogamer,retro game r,2
ePack,epack,e pack,1
mirrorpics,mirrorpics,mirror pics,1
VoteBlue,vote blue,voteblue,1
yesiam,yes i am,yesiam,2
Yabun,yabun,y a bun,2
AnotherSky,another sky,anothersky,1
ALLEN,all en,allen,1
xframe,xframe,x frame,1
Isles,isles,is les,1
Absa,absa,ab sa,1
BLUEBIRDS,blue birds,bluebirds,1
SF9,sf 9,sf9,1
Imposters,imposters,imposter s,1
victon,victon,vict on,1
TheXFactor,the x factor,thexfactor,2
ukrap,ukrap,uk rap,1
MTHL,mthl,mth l,1
DX20,dx20,d x 20,2
hottea,hottea,hot tea,1
Chubu,chubu,chu bu,1
FarmersMarket,farmers market,farmersmarket,1
iseya,iseya,isey a,1
joegreen,joe green,joegreen,1
MediaCorp,media corp,mediacorp,1
LivePD,live pd,livepd,1
Suckin,suck in,suckin,1
RipCity,rip city,ripcity,1
bigsize,bigsize,big size,1
BeMighty,be mighty,be  mighty,1
shotshow,shot show,shotshow,1
LESC,lesc,les c,1
SeungYoon,seung yoon,seungyoon,1
HellBoy,hell boy,hellboy,1
ushist,ushist,us hist,1
hometips,home tips,home  tips,1
NOV6,nov 6,nov6,1
superjunior,superjunior,super junior,1
ISA11,isa 11,isa11,1
MARKLEVIN,mark levin,marklevin,1
whatswith,whatswith,whats with,1
Lovezone,love zone,lovezone,1
Brioni,brioni,bri on i,2
ancap,ancap,an cap,1
Sadr,sadr,sad r,1
Sadr,sadr,s a dr,2
cathealth,cat health,cathealth,1
MetalWork,metal work,metalwork,1
6Line,6 line,6line,1
My35,my35,my 35,1
NSNI,nsni,ns ni,1
ThePonds,the ponds,the pond s,1
BlowJobs,blow jobs,blowjobs,1
Halep,halep,hale p,1
Halep,halep,ha lep,1
greenbuilding,green building,greenbuilding,1
Foodporn,food porn,foodporn,1
wmusic,wmusic,w music,1
bajan,bajan,ba jan,1
noot,noot,no ot,1
homewrecking,homewrecking,home wrecking,1
BillyCrawford,billy crawford,billycrawford,1
Room48,room 48,room48,1
nakedperson,nakedperson,naked person,1
hometech,home tech,hometech,1
MailDay,mail day,mailday,1
needsex,need sex,needs ex,2
HumanityFirst,humanity first,humanityfirst,1
penart,pen art,penart,1
LoveShot,love shot,loveshot,1
simpleplan,simple plan,simpleplan,1
badmin,b admin,badmin,1
IAMME,i am me,iamme,2
GasLighting,gas lighting,gaslighting,1
TETE,t e t e,te te,2
OODT,oodt,ood t,1
JinMin,jin min,jinmin,1
rivian,rivian,rivia n,1
SundayWorld,sunday world,sundayworld,1
SA11,sa 11,sa11,1
Enugu,enugu,en u gu,2
SQUAREUP,square up,squareup,1
MaxMuncy,max muncy,maxmuncy,1
CashKing,cash king,cashking,1
directa,directa,direct a,1
CM20,cm20,cm 20,1
3sum,3 sum,3sum,1
Afib,afib,afi b,1
Afib,afib,a fib,1
Wolfboy,wolfboy,wolf boy,1
GIJOE,gi joe,gijoe,1
Raen,raen,ra en,1
TheBrook,the brook,thebrook,1
ESSS,esss,ess s,1
agedu,agedu,age du,1
PVIS,pvis,p vis,1
SoybeanFarmers,soybean farmers,soy bean farmers,1
CrewSC,crew sc,crewsc,1
CrewSC,crew sc,crews c,2
Dankmemes,dank memes,dankmemes,1
altseason,altseason,alt season,1
DwayneD,dwayne d,dwayned,1
JinYoung,jin young,jinyoung,1
LOOK2,look 2,look2,1
millionare,millionare,million  are,2
TEY,tey,te y,1
Scamo,scamo,scam o,1
eevee,eevee,eeve e,1
wattson,watts on,wattson,1
ANSYS,ansys,an sys,1
ANSYS,ansys,an  sys,2
KennedyStewart,kennedy stewart,kennedystewart,1
litmag,litmag,lit mag,1
cin2,cin2,c in 2,2
rogerstone,rogerstone,roger stone,1
FAVS,favs,fav s,1
Bow2,bow 2,bow2,1
tcmi,tcmi,tcm i,1
bigmood,bigmood,big mood,1
bloodbank,bloodbank,blood bank,1
PLCs,plcs,plc s,1
animalart,animal art,animal  art,1
erfir,erfir,er fir,1
nationaltrust,national trust,nationaltrust,1
HB93,hb 93,hb93,1
teamworking,teamworking,team working,1
OFB,o fb,of b,2
Thuto,thuto,thu to,1
eyeshadowpalette,eyeshadow palette,eye shadow palette,1
Kumaran,kumaran,kumar an,1
ThePitStop,the pit stop,the pitstop,1
BoTW,botw,bot w,1
GirlGamer,girl gamer,girlgamer,1
Ipo,ipo,ip o,1
ICanPlay,i can play,icanplay,2
aymeric,aymeric,ay meri c,2
mchart,mchart,m chart,1
KANGIN,kang in,kangin,1
station19,station 19,station19,1
abgov,abgov,ab gov,1
wintersun,winter sun,wintersun,1
hadas,hadas,had a s,2
10ghz,10 ghz,10ghz,1
etoro,et oro,e to ro,3
tgit,tgit,t git,1
TIPA,tipa,ti pa,1
FINEMAN,fine man,fineman,1
ALLN,alln,all n,1
Gangbangs,gang bangs,gang bang s,1
Sorrynotsorry,sorry not sorry,sorrynotsorry,2
MARYJANE,mary jane,maryjane,1
asianart,asian art,asianart,1
TwitterStorm,twitter storm,twitterstorm,1
bodywash,bodywash,body wash,1
FBLA,fbla,f bla,1
inkmine,inkmine,ink mine,1
GoDems,go dems,godems,1
moneyoff,moneyoff,money off,1
Dadis,dadis,dad is,1
Sathe,sathe,s at he,2
plusmodel,plus model,plusmodel,1
S238,s238,s 238,1
IL05,il05,il 05,1
LESM,les m,lesm,1
hairybear,hairybear,hairy bear,1
HBOgo,hbogo,hbo go,1
OTWE,otwe,o twe,1
teeshirt,teeshirt,tee shirt,1
madcity,madcity,mad city,1
2wish,2 wish,2wish,1
MLine,m line,mline,1
sicily,sicily,sic ily,1
Edl,edl,ed l,1
JungShin,jung shin,jungshin,1
ringwraith,ringwraith,ring wraith,1
cookingschool,cooking school,cookingschool,1
IAgov,iagov,ia gov,1
nudemodels,nude models,nudemodels,1
ZeusCollins,zeus collins,zeuscollins,1
googlesites,googlesites,google sites,1
RightToPlay,right to play,right  to play,1
twerkit,twerkit,twerk it,1
LiSoo,li soo,lisoo,1
WHITEOUT,whiteout,white out,1
TheTakeOver,the take over,the takeover,1
deblasio,de blasio,deblasio,1
Steelo,steelo,steel o,1
RealCouple,real couple,realcouple,1
PeekABoo,peek a boo,peekaboo,2
onthereal,onthereal,on the real,2
EPALive,epa live,ep alive,2
FlyTheFlag,fly the flag,fly the  flag,1
Kband,kband,k band,1
Hasmal,hasmal,h a smal,2
librarycard,librarycard,library card,1
Cinema4D,cinema 4d,cinema4d,1
yaali,yaali,yaal i,1
semperfi,semper fi,semperfi,1
Declas,declas,de clas,1
jackkirby,jack kirby,jackkirby,1
BeatStars,beat stars,beatstars,1
Styleco,styleco,style co,1
womensday,womensday,womens day,1
gapol,gapol,g a pol,2
Utpol,utpol,ut pol,1
funpack,fun pack,f unpack,2
SnowHour,snow hour,snowhour,1
ModelHub,model hub,modelhub,1
BestFiends,best fiends,bestfiends,1
BrettHerron,brett herron,brettherron,1
hinata,hinata,hina ta,1
Mandisa,mandisa,man disa,1
APrivateWar,a private war,aprivatewar,2
TuesdayFun,tuesday fun,tuesday  fun,1
STRAYKIDS,stray kids,straykids,1
EPTF,eptf,ept f,1
100DaysofCode,100 days of code,100daysofcode,3
FB100,fb 100,fb100,1
ATSDR,atsdr,ats dr,1
augmentedintelligence,augmentedintelligence,augmented intelligence,1
whodat,who dat,whodat,1
elections2019,elections 2019,elections2019,1
UP6,up 6,up6,1
MyZimbabwe,my zimbabwe,myzimbabwe,1
BreakDance,break dance,breakdance,1
Altseason,altseason,alt season,1
latexhood,latexhood,latex hood,1
ORPOL,orpol,or pol,1
MrED,mr ed,m red,2
cutiepie,cutie pie,cutiepie,1
OKCash,okcash,ok cash,1
democratici,democratici,democratic  i,2
OWDC,owdc,owd c,1
PROAct,pro act,proact,1
RaiderNation,raider nation,raidernation,1
JeongHwa,jeong hwa,jeonghwa,1
handbra,handbra,h and bra,2
handbra,handbra,hand bra,1
Leafa,leafa,leaf  a,2
itv2,itv2,it v2,1
richdad,richdad,rich dad,1
millennialmind,millennial mind,millennialmind,1
NonPerson,non person,n on person,1
Yasawa,yasawa,y  as a wa,4
williambarr,williambarr,william barr,1
youngthug,young thug,youngthug,1
ReggaeRecipe,reggae recipe,reggaerecipe,1
Treasure13,treasure 13,treasure13,1
MUSETV,muse tv,musetv,1
PAPERMAGAZINE,paper magazine,papermagazine,1
SUSON,suson,s us on,2
MSUBears,msu bears,msubears,1
theDragonPrince,the dragon prince,thedragonprince,2
CollegeGameday,college gameday,college game day,1
BronzeBomber,bronze bomber,bronzebomber,1
asimfan,asimfan,asim fan,1
ilgive,ilgive,il give,1
WeGE,wege,we ge,1
mymans,mymans,my mans,1
NoRen,no ren,noren,1
NoTil,no til,not il,2
greenbeauty,greenbeauty,green beauty,1
NUEST,nuest,nues t,1
sanditon,sanditon,sandi ton,1
EbonyGoddess,ebony goddess,ebonygoddess,1
AZSEN,azsen,azs en,1
chatsex,chatsex,chat sex,1
Ngot,ngot,n got,1
Ngot,ngot,ng ot,1
MarkTuan,mark tuan,marktuan,1
elchapo,el chapo,elchapo,1
AskStar,ask star,ask  star,1
joejonas,joe jonas,joejonas,1
varun,va run,varun,1
LegalEagle,legaleagle,legal eagle,1
Otss,otss,ots s,1
AIio,aiio,aii o,1
UTAU,u tau,ut au,2
SizeQueen,size queen,sizequeen,1
whysoserious,why so serious,whysoserious,2
skinh,skinh,skin h,1
asswipe,as swipe,asswipe,1
ADSTAY,adstay,ad stay,1
GoWTO,gowto,gow to,1
mommab,mom mab,mommab,1
OverRated,over rated,overrated,1
ChristieLamb,christie lamb,christielamb,1
MGMotor,mg motor,mgmotor,1
GoogleWalkout,google walkout,googlewalkout,1
InterFans,inter fans,interfans,1
loveindi,loveindi,love indi,1
pencilneck,pencilneck,pencil neck,1
ASMSG,as msg,asmsg,1
Uldir,uldir,ul dir,1
GoaMining,goa mining,goamining,1
everydaycarry,everyday carry,everydaycarry,1
Chadam,chadam,ch a dam,2
doAC,doac,do a c,2
seniorliving,senior living,seniorliving,1
IAdore,i adore,iadore,1
PVNation,pv nation,pvnation,1
happyhalloween,happyhalloween,happy halloween,1
TribesIndia,tribes india,tribesindia,1
HANDJOBS,handjobs,handjob s,1
Mersal,mersal,mer sal,1
taekook,tae kook,taekook,1
MONSTAX,mons tax,monsta x,2
MONSTAX,mons tax,monstax,1
belAmi,bel ami,belami,1
Punkd,punkd,punk d,1
BounceTV,bounce tv,bouncetv,1
BTSArmy,bts army,btsarmy,1
VMwareNSX,vmware nsx,vmwarensx,1
thickqueen,thick queen,thickqueen,1
shedher,shedher,shed her,1
EunHae,eun hae,eunhae,1
Dentsu,dentsu,dents u,1
HouseofMarley,house of marley,houseofmarley,2
NCT127,nct 127,nct127,1
Caramelo,caramelo,caramel o,1
RepChronicles,rep chronicles,repchronicles,1
Canpoli,canpoli,can poli,1
veganfuture,vegan future,veganfuture,1
EYBL,eybl,ey bl,1
TaylorMomsen,taylor momsen,taylormomsen,1
HesDone,hesdone,hes done,1
brexitvote,brexitvote,brexit vote,1
BTSWorld,bts world,btsworld,1
RIPCITY,rip city,ripcity,1
TrustThePlan,trusttheplan,trust the plan,2
EcoDev,ecodev,ecode v,1
BTSARMY,bts army,btsarmy,1
MAMA2018,mama 2018,mama2018,1
digitaldisruption,digital disruption,digitaldisruption,1
dmsopen,dmsopen,dms open,1
LAREDO,laredo,lared o,1
unitedvibe,unitedvibe,united vibe,1
ISTM,is tm,istm,1
Derbyn,derbyn,derby n,1
FootMaster,foot master,footmaster,1
MIE,m ie,mie,1
nikelondon,nike london,nikelondon,1
AHIN,a hin,ahin,1
fathomevents,fathom events,fathomevents,1
PCHAIN,p chain,pchain,1
GEORGA,georga,ge orga,1
hungryhole,hungryhole,hungry hole,1
mixedidioms,mixed idioms,mixedidioms,1
Banload,ban load,banload,1
Mbare,mbare,mb are,1
teachergoals,teachergoals,teacher goals,1
whoreoff,whore off,whoreoff,1
SEKYU,sekyu,se kyu,1
lesbet,lesbet,les be t,2
UT02,ut02,ut 02,1
GBESE,gbese,g bese,1
CoStream,costream,co stream,1
ManHandled,man handled,manhandled,1
NetCancer,net cancer,netcancer,1
thexfactor,the xfactor,thexfactor,1
starsonice,stars on ice,starsonice,2
