,gold,characters,hypothesis,value
9864,twitter,twitter,twitter,20.554319381713867
21360,Bored,Bored,Bored,20.578702926635742
37143,Green Day,GreenDay,Green Day,20.58139419555664
40004,May 24,May24,May 24,20.59717559814453
43638,Indy,Indy,Indy,20.628067016601562
13815,Evernote,Evernote,Evernote,20.63104248046875
36753,Geek,Geek,Geek,20.64118194580078
46273,Irish,Irish,Irish,20.665664672851562
39696,Dracula,Dracula,Dracula,20.670026779174805
44119,Flashpoint,Flashpoint,Flashpoint,20.708385467529297
6531,quote,quote,quote,20.77040672302246
78611,Bangalore,Bangalore,Bangalore,20.77477264404297
59975,Chrysler,Chrysler,Chrysler,20.792770385742188
42358,LOST,LOST,LOST,20.808948516845703
252,fail,fail,fail,20.833656311035156
2158,Lahore,Lahore,Lahore,20.860851287841797
76086,Throwback,Throwback,Throwback,20.888805389404297
718,error,error,error,20.997329711914062
8975,Wolves,Wolves,Wolves,21.03085708618164
48487,Without,Without,Without,21.07046890258789
17182,Spiritual,Spiritual,Spiritual,21.09195327758789
35320,Halo 3,Halo3,Halo 3,21.095989227294922
9309,Drupal,Drupal,Drupal,21.138031005859375
37359,MotoGP,MotoGP,MotoGP,21.15483283996582
749,Earthquake,Earthquake,Earthquake,21.168474197387695
22915,Twins,Twins,Twins,21.18450164794922
70002,Morrissey,Morrissey,Morrissey,21.184951782226562
48184,Wolfram Alpha,WolframAlpha,WolframAlpha,21.255462646484375
16164,Penguins,Penguins,Penguins,21.275314331054688
1797,Easter,Easter,Easter,21.38980484008789
68149,Tori,Tori,Tori,21.426429748535156
35265,music,music,music,21.436901092529297
76821,David Archuleta,DavidArchuleta,David Archuleta,21.452556610107422
19596,Continental,Continental,Continental,21.459409713745117
23773,Hawks,Hawks,Hawks,21.468196868896484
2341,Angels,Angels,Angels,21.499534606933594
17897,flickr,flickr,flickr,21.519046783447266
74484,SGA,SGA,SGA,21.56789779663086
47845,Bruins,Bruins,Bruins,21.667675018310547
65376,early,early,early,21.722492218017578
37904,Semper Fidelis,SemperFidelis,Semper Fidelis,21.745677947998047
29240,lost,lost,lost,21.796043395996094
19883,Breaking Bad,BreakingBad,Breaking Bad,21.802749633789062
37383,Wii,Wii,Wii,21.845746994018555
14259,Genocide,Genocide,Genocide,21.854097366333008
76964,health,health,health,21.883304595947266
15584,Pompey,Pompey,Pompey,21.904888153076172
49460,last,last,last,21.917583465576172
19246,Ducks,Ducks,Ducks,21.939701080322266
18560,india,india,india,21.991512298583984
9000,Coachella,Coachella,Coachella,22.004228591918945
15690,Wolverine,Wolverine,Wolverine,22.004573822021484
1657,Summers,Summers,Summers,22.015987396240234
24898,Kindle,Kindle,Kindle,22.038347244262695
43646,training,training,training,22.06320571899414
65938,canada,canada,canada,22.067256927490234
23954,Pity,Pity,Pity,22.069072723388672
9062,tags,tags,tags,22.074586868286133
66225,FAIL,FAIL,FAIL,22.10504913330078
56755,Canes,Canes,Canes,22.11053466796875
51003,sleep,sleep,sleep,22.236801147460938
27219,Man Utd,ManUtd,Man Utd,22.244216918945312
63347,movie,movie,movie,22.30791473388672
34284,gmail,gmail,gmail,22.360769271850586
66838,red,red,red,22.38559341430664
71086,photography,photography,photography,22.395662307739258
14305,Karachi,Karachi,Karachi,22.448593139648438
35698,Eurovision,Eurovision,Eurovision,22.48259735107422
8560,Canucks,Canucks,Canucks,22.492252349853516
24551,face palm,facepalm,facepalm,22.54058074951172
48290,Leinster,Leinster,Leinster,22.680110931396484
266,Krispy Kreme,KrispyKreme,Krispy Kreme,22.70371437072754
22150,Peoria,Peoria,Peoria,22.727863311767578
28862,Dollhouse,Dollhouse,Dollhouse,22.749650955200195
9114,Moab,Moab,Moab,22.76007843017578
79264,coffee,coffee,coffee,22.765357971191406
16426,weather,weather,weather,22.770095825195312
65508,Heineken,Heineken,Heineken,22.780288696289062
12130,amazon,amazon,amazon,22.788799285888672
50804,cancer,cancer,cancer,22.789775848388672
46289,Cannes,Cannes,Cannes,22.806535720825195
32284,NHL Playoffs,NHLPlayoffs,NHL Playoffs,22.813396453857422
15865,Nuggets,Nuggets,Nuggets,22.81515884399414
1923,house,house,house,22.93541717529297
43476,Tamil,Tamil,Tamil,23.048320770263672
71412,Migraine,Migraine,Migraine,23.057231903076172
72039,Nats,Nats,Nats,23.09832000732422
7871,TYLER,TYLER,TYLER,23.111900329589844
38983,cars,cars,cars,23.12601089477539
34979,Wishful Thinking,WishfulThinking,Wishful Thinking,23.131263732910156
71531,Hunchback,Hunchback,Hunchback,23.139541625976562
48676,The Brick,TheBrick,The Brick,23.149303436279297
33325,SharePoint,SharePoint,SharePoint,23.20343017578125
71292,windows,windows,windows,23.238521575927734
10805,throwback,throwback,throwback,23.274269104003906
6439,woot,woot,woot,23.31679916381836
77102,twist,twist,twist,23.338726043701172
69057,magic,magic,magic,23.343658447265625
9536,MICA,MICA,MICA,23.360599517822266
22125,native,native,native,23.391250610351562
2016,photog,photog,photog,23.400068283081055
1691,spotify,spotify,spotify,23.430450439453125
54212,Talking Heads,TalkingHeads,Talking Heads,23.499496459960938
18916,linux,linux,linux,23.529747009277344
1134,italy,italy,italy,23.53316879272461
40309,not really,notreally,not really,23.53744888305664
23789,finals,finals,finals,23.58474349975586
60084,SIXX,SIXX,SIXX,23.59122085571289
55788,Firebox,Firebox,Firebox,23.61240005493164
39604,Prison Break,PrisonBreak,Prison Break,23.63263702392578
5453,Tweet Deck,TweetDeck,TweetDeck,23.642723083496094
5800,travis,travis,travis,23.657005310058594
10387,Lomo,Lomo,Lomo,23.680255889892578
46740,Synology,Synology,Synology,23.724899291992188
32625,webmaster,webmaster,webmaster,23.726173400878906
16206,gravity,gravity,gravity,23.735626220703125
63683,yahoo,yahoo,yahoo,23.74346160888672
38563,Manure,Manure,Manure,23.784404754638672
51257,Graze,Graze,Graze,23.819900512695312
13557,wind,wind,wind,23.836109161376953
15290,victoria,victoria,victoria,23.838855743408203
18989,baseball,baseball,baseball,23.86486053466797
46313,widgets,widgets,widgets,23.87520980834961
41992,firefox,firefox,firefox,23.883087158203125
66461,metal,metal,metal,23.94869613647461
1452,Ambients,Ambients,Ambients,23.953250885009766
32237,good luck,goodluck,good luck,23.960880279541016
69127,starbucks,starbucks,starbucks,23.979503631591797
66190,sarcasm,sarcasm,sarcasm,23.99140167236328
5032,democratic,democratic,democratic,24.004051208496094
33906,GMail,GMail,GMail,24.100601196289062
35281,tennis,tennis,tennis,24.112911224365234
29065,nightmare,nightmare,nightmare,24.129459381103516
17545,breakfast,breakfast,breakfast,24.184925079345703
20900,bacon,bacon,bacon,24.190715789794922
33793,kindle,kindle,kindle,24.21685791015625
2101,Wii Fit,WiiFit,Wii Fit,24.248811721801758
9301,spam,spam,spam,24.27569580078125
13799,Nambu,Nambu,Nambu,24.285633087158203
9949,bittorrent,bittorrent,bittorrent,24.353729248046875
650,earthquake,earthquake,earthquake,24.377670288085938
43965,COBOL,COBOL,COBOL,24.38212013244629
15764,twins,twins,twins,24.40337371826172
14774,Moscato,Moscato,Moscato,24.410789489746094
371,surface,surface,surface,24.504138946533203
18621,Sehnsucht,Sehnsucht,Sehnsucht,24.51380157470703
20712,netflix,netflix,netflix,24.528038024902344
70191,Migraines,Migraines,Migraines,24.539413452148438
46394,weight,weight,weight,24.557750701904297
59912,Dale Brown,DaleBrown,Dale Brown,24.572391510009766
79256,bees,bees,bees,24.591777801513672
8643,Game Ports,GamePorts,Game Ports,24.634750366210938
5951,indonesia,indonesia,indonesia,24.665218353271484
21345,forex,forex,forex,24.701885223388672
21600,woo,woo,woo,24.74335479736328
35136,3 words,3words,3 words,24.751083374023438
73580,TCOT,TCOT,TCOT,24.769840240478516
50556,subway,subway,subway,24.774795532226562
7572,spain,spain,spain,24.780380249023438
5024,SUPA,SUPA,SUPA,24.793926239013672
40031,monday,monday,monday,24.79864501953125
7843,french,french,french,24.807796478271484
2123,cricket,cricket,cricket,24.832759857177734
54166,Let me go,Letmego,Let me go,24.870391845703125
15900,revision,revision,revision,24.884029388427734
53511,volkswagen,volkswagen,volkswagen,24.888137817382812
48025,chicago,chicago,chicago,24.937278747558594
39227,McFly,McFly,McFly,24.966259002685547
6245,conservation,conservation,conservation,24.971778869628906
66736,it sucks,itsucks,it sucks,24.982810974121094
43584,expenses,expenses,expenses,25.006885528564453
59624,star wars,starwars,starwars,25.025089263916016
61295,miracle,miracle,miracle,25.0286865234375
24883,perth,perth,perth,25.041637420654297
43491,web 2,web2,web2,25.053585052490234
77058,hashtags,hashtags,hashtags,25.054569244384766
9655,Tweetie,Tweetie,Tweetie,25.06104278564453
51072,google chrome,googlechrome,google chrome,25.068187713623047
33300,Glasto,Glasto,Glasto,25.094921112060547
37450,WTCC,WTCC,WTCC,25.12509536743164
69689,reality check,realitycheck,reality check,25.165599822998047
54317,new album,newalbum,new album,25.173419952392578
28927,Breaking bad,Breakingbad,Breaking bad,25.180187225341797
63237,good night,goodnight,good night,25.220813751220703
23348,hurt,hurt,hurt,25.223876953125
8897,dispatches,dispatches,dispatches,25.333467483520508
733,tracy,tracy,tracy,25.387126922607422
602,star trek,startrek,startrek,25.412052154541016
19214,ubuntu,ubuntu,ubuntu,25.413097381591797
13445,aware,aware,aware,25.508071899414062
53876,sunshine,sunshine,sunshine,25.517032623291016
18255,Logies,Logies,Logies,25.53586196899414
6555,buffalo,buffalo,buffalo,25.538471221923828
54994,TWELVE,TWELVE,TWELVE,25.546737670898438
65117,homeless,homeless,homeless,25.553470611572266
35674,mumbai,mumbai,mumbai,25.598331451416016
16315,vegas,vegas,vegas,25.609737396240234
47924,just sayin,justsayin,just sayin,25.609947204589844
35207,vancouver,vancouver,vancouver,25.622238159179688
12993,asp,asp,asp,25.62299346923828
19569,Ayrton,Ayrton,Ayrton,25.66257095336914
39083,brasil,brasil,brasil,25.672229766845703
44414,Fails,Fails,Fails,25.702014923095703
38860,scrubs,scrubs,scrubs,25.72116470336914
34836,biking,biking,biking,25.746471405029297
26639,Twitter Takeover,TwitterTakeover,Twitter Takeover,25.792835235595703
16563,postgresql,postgresql,postgresql,25.81863021850586
17498,Diigo,Diigo,Diigo,25.824954986572266
34453,crumpets,crumpets,crumpets,25.82748031616211
29141,lulz,lulz,lulz,25.82831573486328
73403,asylum,asylum,asylum,25.905078887939453
36761,robinson,robinson,robinson,25.921321868896484
8814,Berbatov,Berbatov,Berbatov,25.959426879882812
10453,Samaya,Samaya,Samaya,25.971649169921875
5510,iphone,iphone,iphone,26.003250122070312
17932,background image,backgroundimage,background image,26.010452270507812
65302,heartbreak,heartbreak,heartbreak,26.01502227783203
8862,Indycar,Indycar,Indycar,26.026138305664062
54197,jazz,jazz,jazz,26.087825775146484
8352,Prabhakaran,Prabhakaran,Prabhakaran,26.10171890258789
72315,twat,twat,twat,26.108444213867188
56038,Dayquil,Dayquil,Dayquil,26.11084747314453
18552,suck,suck,suck,26.112712860107422
17724,insomnia,insomnia,insomnia,26.134689331054688
61439,terminator,terminator,terminator,26.140365600585938
26375,kimi,kimi,kimi,26.177627563476562
2497,socks,socks,socks,26.203514099121094
15569,bulls,bulls,bulls,26.210613250732422
76801,swans,swans,swans,26.212841033935547
22452,Stansted,Stansted,Stansted,26.238094329833984
56868,leafs,leafs,leafs,26.262981414794922
51242,fails,fails,fails,26.273326873779297
9070,overload,overload,overload,26.279529571533203
40435,Music Monday,MusicMonday,Music Monday,26.28087615966797
15965,derby,derby,derby,26.294506072998047
2405,howling,howling,howling,26.305408477783203
18576,brighton,brighton,brighton,26.337570190429688
18089,roll call,rollcall,roll call,26.347286224365234
25041,melbourne,melbourne,melbourne,26.36077880859375
6786,formula 1,formula1,formula1,26.391170501708984
43981,CakePHP,CakePHP,CakePHP,26.394603729248047
31535,Why I Tweet,WhyITweet,Why I Tweet,26.409549713134766
14547,OmniGraffle,OmniGraffle,OmniGraffle,26.427839279174805
25098,amp,amp,amp,26.42871856689453
32599,EFTPOS,EFTPOS,EFTPOS,26.433067321777344
31650,Lemon Tree,LemonTree,Lemon Tree,26.440109252929688
76686,fireworks,fireworks,fireworks,26.441688537597656
49606,Death Sponge,DeathSponge,Death Sponge,26.442150115966797
17769,Famished,Famished,Famished,26.49774932861328
51532,Border liner,Borderliner,Borderliner,26.559478759765625
27793,lobster,lobster,lobster,26.56753921508789
15017,TMMM,TMMM,TMMM,26.57477569580078
19386,blue box,bluebox,bluebox,26.584476470947266
64985,sustainability,sustainability,sustainability,26.593063354492188
2715,squirrel,squirrel,squirrel,26.60366439819336
17513,walmart,walmart,walmart,26.63105010986328
21453,toulouse,toulouse,toulouse,26.642169952392578
8503,genealogy,genealogy,genealogy,26.655948638916016
11495,Miss USA,MissUSA,Miss USA,26.65859603881836
47116,interop,interop,interop,26.664512634277344
15507,bamboozle,bamboozle,bamboozle,26.66564178466797
19964,apprentice,apprentice,apprentice,26.673492431640625
23289,Tweet It Up,TweetItUp,Tweet It Up,26.67764663696289
33625,climb,climb,climb,26.680007934570312
10202,app store,appstore,appstore,26.68511390686035
46124,leopard,leopard,leopard,26.708118438720703
407,rails,rails,rails,26.739177703857422
37333,primal,primal,primal,26.746097564697266
42849,Terminator 4,Terminator4,Terminator 4,26.78034210205078
72227,S Army,SArmy,S Army,26.788318634033203
49690,TEDx Tokyo,TEDxTokyo,TEDxTokyo,26.796417236328125
35166,windows 7,windows7,windows 7,26.824737548828125
18182,maddie,maddie,maddie,26.856494903564453
21263,joomla,joomla,joomla,26.87796401977539
30229,story of my life,storyofmylife,story of my life,27.016403198242188
1731,semantic,semantic,semantic,27.025619506835938
16460,wolverine,wolverine,wolverine,27.02953338623047
1823,barcodes,barcodes,barcodes,27.030166625976562
19830,Kelloggs,Kelloggs,Kelloggs,27.045310974121094
26530,scrapbook,scrapbook,scrapbook,27.048107147216797
21499,saltwater,saltwater,saltwater,27.05490493774414
73062,the beat,thebeat,the beat,27.084579467773438
22498,the hills,thehills,the hills,27.09042739868164
30599,muffin,muffin,muffin,27.098243713378906
63312,everton,everton,everton,27.10086441040039
56073,giro,giro,giro,27.128372192382812
63285,dongle,dongle,dongle,27.13324737548828
75480,second life,secondlife,second life,27.142719268798828
11616,sigma,sigma,sigma,27.14572525024414
24746,dollhouse,dollhouse,dollhouse,27.165306091308594
23814,23 and me,23andme,23andme,27.1792049407959
10046,morning joe,morningjoe,morning joe,27.18551254272461
72936,jealous,jealous,jealous,27.203903198242188
5092,Flylady,Flylady,Flylady,27.211101531982422
66666,geocache,geocache,geocache,27.22686004638672
37387,truecrypt,truecrypt,truecrypt,27.232624053955078
19746,Paper Heroes,PaperHeroes,Paper Heroes,27.23788070678711
1412,good life,goodlife,good life,27.258708953857422
6047,nascar,nascar,nascar,27.275257110595703
74976,erlang,erlang,erlang,27.284793853759766
46788,VS 2010,VS2010,VS 2010,27.30428695678711
16148,i news,inews,inews,27.306087493896484
63769,nightshift,nightshift,nightshift,27.323402404785156
9130,malware bytes,malwarebytes,malwarebytes,27.32598876953125
63641,lupus,lupus,lupus,27.336872100830078
10868,dissertation,dissertation,dissertation,27.34404754638672
38643,racial profiling,racialprofiling,racial profiling,27.353679656982422
50586,Follow Friday,FollowFriday,Follow Friday,27.370410919189453
44018,Photo Follows,PhotoFollows,Photo Follows,27.373201370239258
69009,Sixx,Sixx,Sixx,27.43195343017578
36626,tweet deck,tweetdeck,tweetdeck,27.437240600585938
32682,my map,mymap,my map,27.44430160522461
37594,family history,familyhistory,family history,27.444477081298828
14951,geocaching,geocaching,geocaching,27.484607696533203
73528,flyer talk,flyertalk,flyertalk,27.50101089477539
70253,whats happening,whatshappening,whats happening,27.51968765258789
56312,cramps,cramps,cramps,27.533889770507812
12331,not likely,notlikely,not likely,27.535442352294922
55623,DEMF,DEMF,DEMF,27.561813354492188
11572,home game,homegame,home game,27.577167510986328
37750,shortstack,shortstack,shortstack,27.587482452392578
39179,lacrosse,lacrosse,lacrosse,27.60314178466797
19238,riff,riff,riff,27.647720336914062
5735,UFC 97,UFC97,UFC 97,27.652873992919922
44343,school time,schooltime,school time,27.667903900146484
21376,underbelly,underbelly,underbelly,27.693435668945312
70527,polaroid,polaroid,polaroid,27.70206642150879
67243,PNLC,PNLC,PNLC,27.706275939941406
6075,what a burger,whataburger,whataburger,27.73230743408203
8703,police state,policestate,police state,27.739376068115234
12977,azure,azure,azure,27.741012573242188
38885,redwings,redwings,redwings,27.749187469482422
21100,Ladytron,Ladytron,Ladytron,27.779006958007812
47646,togs,togs,togs,27.832157135009766
39826,hurling,hurling,hurling,27.85980987548828
2846,bremen,bremen,bremen,27.89773178100586
9598,redshirts,redshirts,redshirts,27.912582397460938
22819,lost the game,lostthegame,lost the game,27.920684814453125
61337,Twitter Remix,TwitterRemix,Twitter Remix,27.924392700195312
67251,field notes,fieldnotes,fieldnotes,27.934635162353516
75603,right turn,rightturn,right turn,27.98052978515625
57913,true blood,trueblood,trueblood,28.000904083251953
10998,Tinted Windows,TintedWindows,Tinted Windows,28.002582550048828
68082,primavera,primavera,primavera,28.041099548339844
34725,green day,greenday,green day,28.106216430664062
23858,Chestermere,Chestermere,Chestermere,28.107669830322266
60024,illness,illness,illness,28.12251853942871
48141,unfollow,unfollow,unfollow,28.149551391601562
55713,flyfishing,flyfishing,flyfishing,28.150638580322266
70719,Virtual Kiss,VirtualKiss,Virtual Kiss,28.236087799072266
65964,spymaster,spymaster,spymaster,28.236164093017578
78175,free nas,freenas,freenas,28.236488342285156
12639,Typo3,Typo3,Typo 3,28.25278091430664
6593,bluray,bluray,bluray,28.26422119140625
6171,uprise,uprise,uprise,28.266986846923828
5410,epic fail,epicfail,epicfail,28.283824920654297
65271,JavaONE,JavaONE,Java ONE,28.303619384765625
52021,my penis,mypenis,my penis,28.351242065429688
41976,Eelam,Eelam,Eelam,28.35457992553711
11328,bsg,bsg,bsg,28.36280059814453
5229,tuttle,tuttle,tuttle,28.381175994873047
65391,ccnet,ccnet,ccnet,28.399044036865234
13978,TEMPLES,TEMPLES,TEMPLES,28.41730499267578
55326,GA 2009,GA2009,GA 2009,28.42206573486328
74095,girl crush,girlcrush,girl crush,28.422508239746094
69495,manics,manics,manics,28.437976837158203
16726,SEAF,SEAF,SEAF,28.48605728149414
75882,global warming,globalwarming,global warming,28.4886474609375
3162,readathon,readathon,readathon,28.495014190673828
79292,bad timing,badtiming,bad timing,28.514110565185547
10331,pissed off,pissedoff,pissed off,28.527057647705078
30583,mc fly,mcfly,mcfly,28.531776428222656
38087,share point,sharepoint,share point,28.584537506103516
15246,openmoko,openmoko,openmoko,28.605758666992188
22931,blisters,blisters,blisters,28.643421173095703
1373,rock box,rockbox,rockbox,28.664974212646484
37874,a11y,a11y,a11y,28.68935775756836
76747,home birth,homebirth,home birth,28.690109252929688
40522,secret mission,secretmission,secret mission,28.745014190673828
59671,lakers,lakers,lakers,28.749347686767578
21292,tough love,toughlove,tough love,28.75609588623047
75176,WNTW,WNTW,WNTW,28.783552169799805
31212,code completion,codecompletion,code completion,28.798675537109375
63508,better days,betterdays,better days,28.8193359375
36683,eurovision,eurovision,eurovision,28.863399505615234
66709,rstats,rstats,rstats,28.875633239746094
78167,twpp,twpp,twpp,28.87887954711914
346,Kulula,Kulula,Kulula,28.880008697509766
9898,nambu,nambu,nambu,28.92965316772461
39761,simple plan,simpleplan,simple plan,28.93303680419922
64006,Twedding,Twedding,T wedding,28.954296112060547
37884,RC Car,RCCar,RC Car,28.96581268310547
55113,download 2009,download2009,download 2009,29.02908706665039
14828,daily exercise,dailyexercise,daily exercise,29.029441833496094
72052,flash camp,flashcamp,flash camp,29.034629821777344
46158,sawman,sawman,sawman,29.13758087158203
1966,ottawa,ottawa,ottawa,29.139759063720703
51364,graze,graze,graze,29.16965103149414
31469,no pants,nopants,no pants,29.195491790771484
48116,arashi,arashi,arashi,29.218429565429688
2541,hill house,hillhouse,hillhouse,29.225154876708984
31597,macbooks,macbooks,macbooks,29.246906280517578
37716,gnu cash,gnucash,gnucash,29.252246856689453
39503,indy 500,indy500,indy500,29.260154724121094
20982,xenocide,xenocide,xenocide,29.28292465209961
56538,twares,twares,twares,29.337108612060547
3706,Fifth Summit,FifthSummit,Fifth Summit,29.35219955444336
29346,cusswords,cusswords,cusswords,29.36905288696289
55212,DR WHO,DRWHO,DR WHO,29.369155883789062
75405,my weakness,myweakness,my weakness,29.38100814819336
55289,letdown,letdown,letdown,29.391117095947266
46078,Fellowes,Fellowes,Fellowes,29.433197021484375
23739,canucks,canucks,canucks,29.447952270507812
49746,no agenda,noagenda,no agenda,29.463359832763672
18796,A1GP,A1GP,A1GP,29.465251922607422
29125,nucks,nucks,nucks,29.465652465820312
14808,WWDC s,WWDCs,WWDCs,29.47498321533203
21945,next 09,next09,next 09,29.55862045288086
78985,gripe,gripe,gripe,29.579429626464844
2607,random facts,randomfacts,random facts,29.647197723388672
48530,revision 3,revision3,revision 3,29.65145492553711
22386,event track,eventtrack,event track,29.660690307617188
24803,mothers day,mothersday,mothersday,29.752147674560547
54437,follow Friday,followFriday,follow Friday,29.757450103759766
73748,red sox,redsox,redsox,29.770130157470703
77493,itouch,itouch,itouch,29.777206420898438
64900,cost savings,costsavings,cost savings,29.779891967773438
67607,IDP Relief,IDPRelief,IDP Relief,29.806686401367188
30624,twiist,twiist,twiist,29.81020736694336
28093,big weekend,bigweekend,big weekend,29.818038940429688
18745,flying pig,flyingpig,flying pig,29.878551483154297
74398,kettlebells,kettlebells,kettlebells,29.89731216430664
60394,Save Me From Hell,SaveMeFromHell,Save Me From Hell,29.911643981933594
42370,hate monday,hatemonday,hate monday,29.913288116455078
30328,digital planet,digitalplanet,digitalplanet,29.951251983642578
13345,Dutch lessons,Dutchlessons,Dutch lessons,29.956260681152344
64503,webdu,webdu,webdu,29.980098724365234
16077,fort worth,fortworth,fortworth,29.98351287841797
39107,yankees,yankees,yankees,29.996719360351562
12694,swine flu,swineflu,swine flu,30.024845123291016
26810,man city,mancity,mancity,30.034984588623047
75582,laker,laker,laker,30.03603744506836
48341,Save Earl,SaveEarl,Save Earl,30.06745147705078
65429,melting away,meltingaway,melting away,30.069377899169922
15980,DKAJ,DKAJ,DKAJ,30.092309951782227
72725,UPS sucks,UPSsucks,UPS sucks,30.117904663085938
67116,wieters,wieters,wieters,30.119144439697266
74083,wset,wset,wset,30.138843536376953
43546,up to no good,uptonogood,up to no good,30.145519256591797
53577,ifast,ifast,ifast,30.152118682861328
47058,drobo,drobo,drobo,30.153072357177734
36441,married life,marriedlife,married life,30.184741973876953
17869,logies,logies,logies,30.186153411865234
77526,death whale,deathwhale,death whale,30.19110870361328
21224,city rail,cityrail,city rail,30.19363021850586
51174,coffee club,coffeeclub,coffee club,30.208415985107422
57898,pinoy,pinoy,pinoy,30.244609832763672
52064,large pussy,largepussy,large pussy,30.262466430664062
22598,ice hockey,icehockey,icehockey,30.265602111816406
24397,Sanctuary Sunday,SanctuarySunday,Sanctuary Sunday,30.318241119384766
22176,hamr,hamr,hamr,30.322216033935547
2440,game arena,gamearena,gamearena,30.322837829589844
25382,nigella,nigella,nigella,30.325456619262695
74853,The Green Teen,TheGreenTeen,The Green Teen,30.364334106445312
56081,virgin media,virginmedia,virginmedia,30.3680419921875
5221,nufc,nufc,nufc,30.377960205078125
43294,feeling sorry for myself,feelingsorryformyself,feeling sorry for myself,30.38442611694336
8598,progrock,progrock,prog rock,30.400161743164062
40364,h1n1,h1n1,h1n1,30.409109115600586
40751,bento box,bentobox,bento box,30.43417739868164
25419,punchdrunk,punchdrunk,punchdrunk,30.439559936523438
40016,g free,gfree,gfree,30.460044860839844
15756,bcp 3,bcp3,bcp3,30.493412017822266
50191,b park,bpark,b park,30.495952606201172
76150,geek camp,geekcamp,geekcamp,30.50613021850586
14455,Team Britney,TeamBritney,Team Britney,30.53300666809082
32695,spin to,spinto,spinto,30.564342498779297
38376,singleminded,singleminded,singleminded,30.581504821777344
34038,CPSIA,CPSIA,CPSIA,30.596683502197266
1080,baby punch,babypunch,baby punch,30.602149963378906
69520,the daily show,thedailyshow,thedailyshow,30.612281799316406
29008,apple fail,applefail,applefail,30.658023834228516
45951,flylady,flylady,flylady,30.687164306640625
10658,boston marathon,bostonmarathon,bostonmarathon,30.696533203125
37522,tweet up,tweetup,tweetup,30.721176147460938
33611,no car,nocar,no car,30.764732360839844
35308,hbmf,hbmf,hbmf,30.770416259765625
39546,write chat,writechat,write chat,30.78079605102539
30787,project aware,projectaware,project aware,30.78082275390625
5374,cubbies,cubbies,cubbies,30.787845611572266
20830,sam bradley,sambradley,sam bradley,30.81615447998047
71326,kitchen fire,kitchenfire,kitchenfire,30.863380432128906
29528,twitter fail,twitterfail,twitterfail,30.86509895324707
42038,for our hero,forourhero,for our hero,30.86574935913086
53925,follow Art,followArt,follow Art,30.871055603027344
9914,tweetie,tweetie,tweetie,30.875957489013672
40194,follow week,followweek,follow week,30.904876708984375
33641,q and a,qanda,qanda,30.915000915527344
15615,moodswings,moodswings,mood swings,30.919044494628906
47013,spoonies,spoonies,spoonies,30.96817398071289
12097,Lions 09,Lions09,Lions 09,30.97107696533203
77126,favorite movie,favoritemovie,favorite movie,30.97478485107422
66445,asylm,asylm,asylm,31.000408172607422
72328,sleep deprived,sleepdeprived,sleep deprived,31.017471313476562
2513,plowed,plowed,plowed,31.03668975830078
